question,answer
haber: 1ª persona singular (yo) presente indicativo,he
haber: 2ª persona singular (tú) presente indicativo,has
haber: 3ª persona singular (él/ella/usted) presente indicativo,ha
haber: 1ª persona plural (nosotros) presente indicativo,hemos
haber: 2ª persona plural (vosotros) presente indicativo,habéis
haber: 3ª persona plural (ellos/ellas/ustedes) presente indicativo,han
haber: 1ª persona singular (yo) imperfecto indicativo,había
haber: 2ª persona singular (tú) imperfecto indicativo,habías
haber: 3ª persona singular (él/ella/usted) imperfecto indicativo,había
haber: 1ª persona plural (nosotros) imperfecto indicativo,habíamos
haber: 2ª persona plural (vosotros) imperfecto indicativo,habíais
haber: 3ª persona plural (ellos/ellas/ustedes) imperfecto indicativo,habían
haber: 1ª persona singular (yo) pretérito indicativo,hube
haber: 2ª persona singular (tú) pretérito indicativo,hubiste
haber: 3ª persona singular (él/ella/usted) pretérito imperfecto indicativo,hubo
haber: 1ª persona plural (nosotros) pretérito indicativo,hubimos
haber: 2ª persona plural (vosotros) pretérito indicativo,hubisteis
haber: 3ª persona plural (ellos/ellas/ustedes) pretérito indicativo,hubieron
haber: 1ª persona singular (yo) condicional indicativo,habría
haber: 2ª persona singular (tú) condicional indicativo,habrías
haber: 3ª persona singular (él/ella/usted) condicional indicativo,habría
haber: 1ª persona plural (nosotros) condicional indicativo,habríamos
haber: 2ª persona plural (vosotros) condicional indicativo,habríais
haber: 3ª persona plural (ellos/ellas/ustedes) condicional indicativo,habrían
haber: 1ª persona singular (yo) presente subjuntivo,haya
haber: 2ª persona singular (tú) presente subjuntivo,hayas
haber: 3ª persona singular (él/ella/usted) presente subjuntivo,haya
haber: 1ª persona plural (nosotros) presente subjuntivo,hayamos
haber: 2ª persona plural (vosotros) presente subjuntivo,hayáis
haber: 3ª persona plural (ellos/ellas/ustedes) presente subjuntivo,hayan
